Date,Average Likes Per Photo
3/24/2012,1043
3/25/2012,1707.666667
3/26/2012,1300.142857
3/27/2012,785.6666667
3/28/2012,1376.2
3/29/2012,1435
3/30/2012,712.3333333
3/31/2012,1878
4/1/2012,1320
4/2/2012,900
4/3/2012,
4/4/2012,
4/5/2012,947.1538462
4/6/2012,2329
4/7/2012,
4/8/2012,2816
4/9/2012,1079.333333
4/10/2012,
4/11/2012,1144
4/12/2012,3857
4/13/2012,607
4/14/2012,
4/15/2012,
4/16/2012,
4/17/2012,2877.5
4/18/2012,2167
4/19/2012,2396.5
4/20/2012,
4/21/2012,6146
4/22/2012,1241
4/23/2012,2207
4/24/2012,
4/25/2012,
4/26/2012,
4/27/2012,
4/28/2012,
4/29/2012,
4/30/2012,4684
5/1/2012,2593
5/2/2012,2049.5
5/3/2012,2392
5/4/2012,1218
5/5/2012,1849
5/6/2012,2873
5/7/2012,
5/8/2012,
5/9/2012,
5/10/2012,
5/11/2012,3720
5/12/2012,3240
5/13/2012,5834.5
5/14/2012,7492
5/15/2012,3281
5/16/2012,5719
5/17/2012,
5/18/2012,2812.75
5/19/2012,2462
5/20/2012,3648
5/21/2012,
5/22/2012,
5/23/2012,
5/24/2012,
5/25/2012,9091
5/26/2012,
5/27/2012,5047.5
5/28/2012,
5/29/2012,
5/30/2012,
5/31/2012,
6/1/2012,
6/2/2012,
6/3/2012,
6/4/2012,3291
6/5/2012,3545
6/6/2012,2036
6/7/2012,
6/8/2012,
6/9/2012,
6/10/2012,
6/11/2012,2360.5
6/12/2012,
6/13/2012,
6/14/2012,
6/15/2012,
6/16/2012,
6/17/2012,
6/18/2012,
6/19/2012,
6/20/2012,
6/21/2012,
6/22/2012,
6/23/2012,
6/24/2012,
6/25/2012,
6/26/2012,
6/27/2012,
6/28/2012,
6/29/2012,
6/30/2012,
7/1/2012,
7/2/2012,
7/3/2012,
7/4/2012,
7/5/2012,
7/6/2012,
7/7/2012,
7/8/2012,
7/9/2012,
7/10/2012,
7/11/2012,2835
7/12/2012,4196.5
7/13/2012,10531.66667
7/14/2012,7969.666667
7/15/2012,9271
7/16/2012,8311.666667
7/17/2012,5726.2
7/18/2012,6627.2
7/19/2012,5708.8
7/20/2012,7327.4
7/21/2012,6542.125
7/22/2012,11468.66667
7/23/2012,6669.428571
7/24/2012,9066.666667
7/25/2012,7261.5
7/26/2012,8440.666667
7/27/2012,9458.25
7/28/2012,6039
7/29/2012,7126
7/30/2012,8777.75
7/31/2012,4640
8/1/2012,8153.666667
8/2/2012,14008
8/3/2012,8929
8/4/2012,4925
8/5/2012,6736.333333
8/6/2012,8038
8/7/2012,13452.33333
8/8/2012,5574.333333
8/9/2012,7520.2
8/10/2012,3555
8/11/2012,8622.666667
8/12/2012,6724
8/13/2012,16349
8/14/2012,12392
8/15/2012,9110.5
8/16/2012,10956.33333
8/17/2012,8549
8/18/2012,7430.2
8/19/2012,9006.2
8/20/2012,11051
8/21/2012,9387.2
8/22/2012,12473
8/23/2012,12505
8/24/2012,14401.14286
8/25/2012,14368.4
8/26/2012,8159.571429
8/27/2012,12548.16667
8/28/2012,13587.75
8/29/2012,16372
8/30/2012,15275
8/31/2012,14362.5
9/1/2012,10138
9/2/2012,8082
9/3/2012,11950.33333
9/4/2012,10871
9/5/2012,14845.75
9/6/2012,12833.28571
9/7/2012,17161.6
9/8/2012,12946.5
9/9/2012,8001
9/10/2012,14669.85714
9/11/2012,21425.125
9/12/2012,9726.230769
9/13/2012,7702.75
9/14/2012,15589.5
9/15/2012,
9/16/2012,24446.5
9/17/2012,20216.875
9/18/2012,21845.28571
9/19/2012,28089.25
9/20/2012,13199.57143
9/21/2012,11750
9/22/2012,19238.42857
9/23/2012,15987.5
9/24/2012,15082.6
9/25/2012,14528.33333
9/26/2012,15918.66667
9/27/2012,15880.66667
9/28/2012,15130
9/29/2012,11297
9/30/2012,13906.25
10/1/2012,22228
10/2/2012,21404.75
10/3/2012,23264.66667
10/4/2012,27427
10/5/2012,17534.5
10/6/2012,17692.5
10/7/2012,19184.11111
10/8/2012,19438.8
10/9/2012,15042
10/10/2012,27216
10/11/2012,25381.33333
10/12/2012,9648
10/13/2012,25220.8
10/14/2012,23299.8
10/15/2012,23754.875
10/16/2012,24865.66667
10/17/2012,25140
10/18/2012,20305
10/19/2012,16937
10/20/2012,19484.33333
10/21/2012,21178.83333
10/22/2012,18530.25
10/23/2012,24984
10/24/2012,24478.25
10/25/2012,28005
10/26/2012,15945.8
10/27/2012,31477
10/28/2012,37834
10/29/2012,48031.5
10/30/2012,25564.2
10/31/2012,24027
11/1/2012,24172
11/2/2012,18526.16667
11/3/2012,24136
11/4/2012,8789.5
11/5/2012,28039.66667
11/6/2012,24105.5
11/7/2012,48737.5
11/8/2012,30330.28571
11/9/2012,25300.25
11/10/2012,20808
11/11/2012,23404.25
11/12/2012,23016.33333
11/13/2012,17649.4
11/14/2012,27295.66667
11/15/2012,22159.5
11/16/2012,34246.4
11/17/2012,18991.5
11/18/2012,30015.8
11/19/2012,27199
11/20/2012,38043.66667
11/21/2012,36230.33333
11/22/2012,30436
11/23/2012,40542
11/24/2012,35972.5
11/25/2012,20373.8
11/26/2012,35179.83333
11/27/2012,23653.5
11/28/2012,
11/29/2012,28698.5
11/30/2012,24188.6
12/1/2012,17864
12/2/2012,28283.5
12/3/2012,11626
12/4/2012,23763
12/5/2012,54755
12/6/2012,33981.33333
12/7/2012,34470
12/8/2012,25589.5
12/9/2012,19729
12/10/2012,24941.6
12/11/2012,25990
12/12/2012,25371.75
12/13/2012,34414.5
12/14/2012,26316.5
12/15/2012,37275
12/16/2012,30559
12/17/2012,25386.66667
12/18/2012,42963
12/19/2012,
12/20/2012,
12/21/2012,45055.66667
12/22/2012,33231
12/23/2012,36749.66667
12/24/2012,32273.5
12/25/2012,33348.5
12/26/2012,46434
12/27/2012,30257.16667
12/28/2012,37966.33333
12/29/2012,50470.8
12/30/2012,32749.33333
12/31/2012,50905
1/1/2013,51656
1/2/2013,
1/3/2013,35048.66667
1/4/2013,37193
1/5/2013,74531
1/6/2013,41615.66667
1/7/2013,51706.66667
1/8/2013,37513
1/9/2013,43382
1/10/2013,27670
1/11/2013,34907
1/12/2013,42406
1/13/2013,42046.5
1/14/2013,46145
1/15/2013,74517
1/16/2013,50537
1/17/2013,36791.6
1/18/2013,56186.6
1/19/2013,38667.8
1/20/2013,52642.33333
1/21/2013,45401.8
1/22/2013,56180.875
1/23/2013,33393.16667
1/24/2013,38447.4
1/25/2013,42004.3
1/26/2013,51775
1/27/2013,49774.5
1/28/2013,44512.4
1/29/2013,52825.2
1/30/2013,60729.71429
1/31/2013,57654
2/1/2013,53053.9
2/2/2013,46943.125
2/3/2013,42241
2/4/2013,45501
2/5/2013,55274.8
2/6/2013,46807.9
2/7/2013,51526.14286
2/8/2013,47996.16667
2/9/2013,48718.28571
2/10/2013,42726.2
2/11/2013,59923.8
2/12/2013,41363.4
2/13/2013,43230.2
2/14/2013,49251.125
2/15/2013,38725
2/16/2013,58385.6
2/17/2013,39901.66667
2/18/2013,58716.57143
2/19/2013,38697.16667
2/20/2013,66894.33333
2/21/2013,67728.75
2/22/2013,62565.2
2/23/2013,54397
2/24/2013,56370.25
2/25/2013,56466.625
2/26/2013,49537
2/27/2013,32205.28571
2/28/2013,46845.66667
3/1/2013,72335
3/2/2013,50068.125
3/3/2013,56286.25
3/4/2013,64914.33333
3/5/2013,80857.5
3/6/2013,59792.2
3/7/2013,58942.71429
3/8/2013,41966.7
3/9/2013,68889.66667
3/10/2013,47839.33333
3/11/2013,42057.55556
3/12/2013,61522.25
3/13/2013,47173.33333
3/14/2013,66589.57143
3/15/2013,59939.33333
3/16/2013,39573.66667
3/17/2013,52781.6
3/18/2013,67478.16667
3/19/2013,48952.42857
3/20/2013,74243.6
3/21/2013,54049.16667
3/22/2013,53684
3/23/2013,42359.66667
3/24/2013,68919.66667
3/25/2013,66113.16667
3/26/2013,69060.4
3/27/2013,72832.83333
3/28/2013,45874
3/29/2013,65360.33333
3/30/2013,58683.85714
3/31/2013,34809
4/1/2013,60159.4
4/2/2013,74124.75
4/3/2013,65210
4/4/2013,57145.91667
4/5/2013,62346.46667
4/6/2013,47873.9
4/7/2013,58097
4/8/2013,82471.1
4/9/2013,72115
4/10/2013,62072.69231
4/11/2013,65500
4/12/2013,80062.75
4/13/2013,68153.2
4/14/2013,65559.44444
4/15/2013,61554.75
4/16/2013,72203
4/17/2013,91274
4/18/2013,88998.55556
4/19/2013,70526.11111
4/20/2013,72566.75
4/21/2013,60795.2
4/22/2013,91612.66667
4/23/2013,93568.4
4/24/2013,110634.4
4/25/2013,80055.14286
4/26/2013,84386.9
4/27/2013,65412.55556
4/28/2013,79269
4/29/2013,80403.75
4/30/2013,74747.14286
5/1/2013,71699
5/2/2013,78708.77778
5/3/2013,70886.58333
5/4/2013,51293.5
5/5/2013,78612.25
5/6/2013,85779.25
5/7/2013,78013.14286
5/8/2013,86072.33333
5/9/2013,64821
5/10/2013,72689.4
5/11/2013,56255
5/12/2013,69773.33333
5/13/2013,86092.2
5/14/2013,58499.5
5/15/2013,70634.57143
5/16/2013,87372.4
5/17/2013,93882.625
5/18/2013,93232
5/19/2013,51220.75
5/20/2013,73419.375
5/21/2013,61459
5/22/2013,107659
5/23/2013,93997.125
5/24/2013,74968.28571
5/25/2013,94349.66667
5/26/2013,75484.33333
5/27/2013,51115
5/28/2013,76376.66667
5/29/2013,85445.8
5/30/2013,102276.5
5/31/2013,85809.75
6/1/2013,77054.6
6/2/2013,80637.875
6/3/2013,74949.28571
6/4/2013,64820.25
6/5/2013,85807
6/6/2013,94155.66667
6/7/2013,92399.66667
6/8/2013,85351.5
6/9/2013,70621.5
6/10/2013,101262.8333
6/11/2013,127479
6/12/2013,87592.55556
6/13/2013,98094.875
6/14/2013,65883
6/15/2013,91342.25
6/16/2013,76016.66667
6/17/2013,106271
6/18/2013,104468.2
6/19/2013,78929
6/20/2013,58203
6/21/2013,85490.25
6/22/2013,
6/23/2013,78901.5
6/24/2013,86264.125
6/25/2013,67570.4
6/26/2013,85442.66667
6/27/2013,86085
6/28/2013,83780
6/29/2013,117534
