date,mean_rainfall
1990-01-01,1.6130000000000002
1990-01-11,1.557
1990-01-21,2.219
1990-02-01,4.788
1990-02-11,6.51
1990-02-21,4.513
1990-03-01,6.792999999999999
1990-03-11,7.497000000000001
1990-03-21,13.219000000000001
1990-04-01,14.834000000000001
1990-04-11,16.553
1990-04-21,17.154
1990-05-01,39.81
1990-05-11,88.11399999999999
1990-05-21,106.455
1990-06-01,146.013
1990-06-11,107.113
1990-06-21,180.783
1990-07-01,154.833
1990-07-11,125.036
1990-07-21,190.378
1990-08-01,104.23
1990-08-11,79.57300000000001
1990-08-21,121.285
1990-09-01,108.38
1990-09-11,87.185
1990-09-21,89.387
1990-10-01,89.51100000000001
1990-10-11,22.493000000000002
1990-10-21,42.395
1990-11-01,52.097
1990-11-11,5.7410000000000005
1990-11-21,6.245
1990-12-01,3.365
1990-12-11,5.107
1990-12-21,2.327
1991-01-01,4.956
1991-01-11,2.18
1991-01-21,2.123
1991-02-01,3.25
1991-02-11,2.571
1991-02-21,2.5789999999999997
1991-03-01,7.077000000000001
1991-03-11,5.067
1991-03-21,9.144
1991-04-01,25.683000000000003
1991-04-11,7.88
1991-04-21,34.896
1991-05-01,69.59
1991-05-11,38.013000000000005
1991-05-21,62.288000000000004
1991-06-01,158.846
1991-06-11,123.81700000000001
1991-06-21,151.201
1991-07-01,98.71799999999999
1991-07-11,132.202
1991-07-21,160.37
1991-08-01,130.789
1991-08-11,184.98
1991-08-21,153.39700000000002
1991-09-01,78.533
1991-09-11,94.28399999999999
1991-09-21,96.305
1991-10-01,62.91
1991-10-11,72.15100000000001
1991-10-21,59.842
1991-11-01,41.191
1991-11-11,6.621
1991-11-21,6.8629999999999995
1991-12-01,3.159
1991-12-11,2.938
1991-12-21,4.127
1992-01-01,2.258
1992-01-11,2.439
1992-01-21,2.479
1992-02-01,6.315
1992-02-11,4.928999999999999
1992-02-21,4.672
1992-03-01,3.555
1992-03-11,6.5729999999999995
1992-03-21,7.77
1992-04-01,5.349
1992-04-11,13.158
1992-04-21,17.883
1992-05-01,18.07
1992-05-11,57.238
1992-05-21,35.285
1992-06-01,97.27799999999999
1992-06-11,100.396
1992-06-21,119.84100000000001
1992-07-01,140.41899999999998
1992-07-11,157.084
1992-07-21,195.11
1992-08-01,128.743
1992-08-11,116.12299999999999
1992-08-21,119.338
1992-09-01,66.014
1992-09-11,121.08
1992-09-21,97.815
1992-10-01,59.428999999999995
1992-10-11,94.135
1992-10-21,92.76799999999999
1992-11-01,13.88
1992-11-11,7.53
1992-11-21,17.89
1992-12-01,3.3169999999999997
1992-12-11,2.094
1992-12-21,2.605
1993-01-01,2.262
1993-01-11,2.7689999999999997
1993-01-21,2.452
1993-02-01,2.164
1993-02-11,8.72
1993-02-21,2.864
1993-03-01,5.055
1993-03-11,8.105
1993-03-21,15.992
1993-04-01,8.661
1993-04-11,12.11
1993-04-21,17.715999999999998
1993-05-01,48.037
1993-05-11,40.556999999999995
1993-05-21,158.319
1993-06-01,102.25399999999999
1993-06-11,182.34099999999998
1993-06-21,123.979
1993-07-01,121.749
1993-07-11,129.016
1993-07-21,118.693
1993-08-01,114.384
1993-08-11,92.992
1993-08-21,168.94799999999998
1993-09-01,144.741
1993-09-11,90.875
1993-09-21,82.22
1993-10-01,50.668
1993-10-11,38.051
1993-10-21,64.48
1993-11-01,6.376
1993-11-11,5.1160000000000005
1993-11-21,6.316
1993-12-01,3.264
1993-12-11,2.435
1993-12-21,1.9
1994-01-01,1.8259999999999998
1994-01-11,1.78
1994-01-21,2.055
1994-02-01,7.4079999999999995
1994-02-11,3.5060000000000002
1994-02-21,2.505
1994-03-01,4.033
1994-03-11,12.147
1994-03-21,26.122
1994-04-01,14.929
1994-04-11,22.686
1994-04-21,21.109
1994-05-01,76.21600000000001
1994-05-11,57.913999999999994
1994-05-21,79.953
1994-06-01,133.02
1994-06-11,123.84200000000001
1994-06-21,189.768
1994-07-01,163.36
1994-07-11,181.09599999999998
1994-07-21,165.96099999999998
1994-08-01,170.325
1994-08-11,134.049
1994-08-21,213.252
1994-09-01,82.147
1994-09-11,101.931
1994-09-21,83.709
1994-10-01,72.021
1994-10-11,46.637
1994-10-21,18.816
1994-11-01,6.082000000000001
1994-11-11,7.037999999999999
1994-11-21,16.658
1994-12-01,3.438
1994-12-11,1.892
1994-12-21,2.09
1995-01-01,1.953
1995-01-11,1.3719999999999999
1995-01-21,2.707
1995-02-01,4.237
1995-02-11,5.242000000000001
1995-02-21,3.286
1995-03-01,4.423
1995-03-11,4.75
1995-03-21,9.876
1995-04-01,10.349
1995-04-11,12.187999999999999
1995-04-21,12.062999999999999
1995-05-01,50.045
1995-05-11,110.17299999999999
1995-05-21,54.376000000000005
1995-06-01,168.645
1995-06-11,113.47
1995-06-21,88.00200000000001
1995-07-01,153.829
1995-07-11,160.87
1995-07-21,146.89600000000002
1995-08-01,147.654
1995-08-11,151.414
1995-08-21,173.80200000000002
1995-09-01,117.492
1995-09-11,120.602
1995-09-21,89.95299999999999
1995-10-01,89.62899999999999
1995-10-11,42.379
1995-10-21,31.254
1995-11-01,18.730999999999998
1995-11-11,30.337
1995-11-21,19.919
1995-12-01,2.479
1995-12-11,1.962
1995-12-21,1.777
1996-01-01,1.551
1996-01-11,1.4609999999999999
1996-01-21,1.9669999999999999
1996-02-01,3.5069999999999997
1996-02-11,4.627
1996-02-21,7.121
1996-03-01,4.121
1996-03-11,7.805
1996-03-21,22.197
1996-04-01,7.649
1996-04-11,13.072000000000001
1996-04-21,35.859
1996-05-01,75.882
1996-05-11,66.727
1996-05-21,109.78200000000001
1996-06-01,99.366
1996-06-11,146.41299999999998
1996-06-21,94.43299999999999
1996-07-01,101.103
1996-07-11,142.344
1996-07-21,224.69
1996-08-01,118.338
1996-08-11,160.94899999999998
1996-08-21,148.267
1996-09-01,97.91
1996-09-11,134.542
1996-09-21,99.075
1996-10-01,84.094
1996-10-11,23.284000000000002
1996-10-21,61.738
1996-11-01,30.153000000000002
1996-11-11,6.393
1996-11-21,7.928
1996-12-01,6.267
1996-12-11,2.156
1996-12-21,1.9169999999999998
1997-01-01,1.501
1997-01-11,1.248
1997-01-21,2.737
1997-02-01,3.513
1997-02-11,3.7289999999999996
1997-02-21,2.952
1997-03-01,4.032
1997-03-11,13.921
1997-03-21,14.360999999999999
1997-04-01,10.282
1997-04-11,9.205
1997-04-21,24.647
